hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/imaging,200,0,0,0,0,21,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals/clinical-translational-research-institute/current-enrolling-studies,200,0,0,0,0,20,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-patients/i-am-a-past-patient/pay-your-bill-online,200,0,0,0,0,17,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-stories/our-women-s-health-stories/abril-s-women-s-health-story,200,0,0,0,0,22,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/about-us/read-abrazo-news/page/10,200,0,0,0,0,34,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/surgery,200,0,0,0,0,17,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals/careers-at-abrazo/careers-for-staff,200,0,0,0,0,16,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus/our-news/detail/2017/04/13/abrazo-scottsdale-campus-seeks-retirees-to-volunteer-at-hospital,200,0,0,0,0,34,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/brain-neuro/epilepsy/tests-procedures,200,0,0,0,0,19,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/womens-health/health-library,200,0,0,0,0,18,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals,200,0,0,0,0,33,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://abrazo-checkin.inquicker.com/schedule/779?at=201707061615&schedule_id=779,200,0,0,0,0,14,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-services-specialties/advanced-aortic-disease-institute,200,0,0,0,0,21,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/for-health-professionals/abrazo-central-family-medicine-residency/people/detail/ahmed-agha-md-pharmd,200,0,0,0,0,19,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/find-a-physician/abrazo-arrowhead-campus,200,0,0,0,0,21,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/our-locations-detail/abrazo-buckeye-emergency-center,200,0,0,0,0,10,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-news/detail/2016/12/09/ho-ho-ho!-santa-s-health-habits-are-no-merry-matter,200,0,0,0,0,37,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-locations/abrazo-arizona-heart-hospital/our-news/detail/2017/02/08/two-abrazo-hospitals-invite-high-school-students-to-volunteer-this-summer,200,0,0,0,0,26,,,,
Abrazo Central Campus,http://www.abrazohealth.com,https://www.abrazohealth.com/our-services/clinical-translational-research-institute/why-abrazo,200,0,0,0,0,29,,,,
