hospital,hospital_website,url,status code,teamwork,teamstepps,team training,crew resource management,the,text-teamwork,text-teamstepps,text-team training,text-crew resource management
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/teen-health-care/,200,0,0,0,0,60,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/sunburn/,200,0,0,0,0,73,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/mumps/,200,0,0,0,0,30,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/2017/05/05/explosive-babies/,200,0,0,0,0,27,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lgec.net/news,200,0,0,0,0,4,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/2017/03/10/sore-throats-hurt/,200,0,0,0,0,22,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/2017/06/02/real-animals-are-not-cartoons/,200,0,0,0,0,34,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/our_facilities/professional_centers.aspx,200,0,0,0,0,12,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/rashes/,200,0,0,0,0,69,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lgec.net/faq,200,0,0,0,0,46,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/services/urology.aspx,200,0,0,0,0,13,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/chest-pain/,200,0,0,0,0,35,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/2017/06/09/hospitals-are-cool/,200,0,0,0,0,23,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/fever-and-pain-meds/,200,0,0,0,0,35,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/ear-pain/,200,0,0,0,0,69,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/insect-stings/,200,0,0,0,0,22,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/2017/03/23/high-anxiety/,200,0,0,0,0,24,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/services/neuroscience/sleep_medicine.aspx,200,0,0,0,0,5,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/news_events/making_a_difference.aspx,200,1,0,0,0,98,"the ground. He knew something wasnt right. Loretta Dean - CNA, Med/Surgery 02/04/2014 Though her compassion, teamwork and humor with her patients, Loretta inspired a patient escort to pursue CNA School with",,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lgec.net/technology,200,0,0,0,0,32,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lgec.net/AboutUs.asp,200,0,0,0,0,14,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/vomiting/,200,0,0,0,0,45,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/insect-bitesboils/,200,0,0,0,0,62,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/fainting/,200,0,0,0,0,25,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/our_facilities/main_facilities/university_hospital_clinics.aspx,200,0,0,0,0,11,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/patient_visitor_info/pre-registration.aspx,200,0,0,0,0,4,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/services/plastic_reconstructive_surgery.aspx,200,0,0,0,0,7,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lafayettegeneral.com/my_health.aspx,200,0,0,0,0,5,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://parentsdontfret.net/category/belly-painconstipation/,200,0,0,0,0,34,,,,
Abrom Kaplan Memorial Hospital,http://www.lafayettegeneral.com,http://www.lgec.net/about-us,200,0,0,0,0,14,,,,
